[WI-0][TI-3951] - [INFO] 2024-05-07 09:06:11.032 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3951, processInstanceId=1058, status=6, startTime=1715043050066, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1058/3951.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1058/3951, endTime=1715043068290, processId=1558, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043971024)
[WI-0][TI-3949] - [INFO] 2024-05-07 09:06:23.044 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3949, processInstanceId=1056, status=6, startTime=1715042461574, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1056/3949.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1056/3949, endTime=1715042480010, processId=1190, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043682380)
[WI-0][TI-3949] - [INFO] 2024-05-07 09:06:23.053 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3949, processInstanceId=1056, status=6, startTime=1715042461574, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1056/3949.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1056/3949, endTime=1715042480010, processId=1190, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043983044)
[WI-0][TI-3947] - [INFO] 2024-05-07 09:07:17.198 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3947, processInstanceId=1054, status=6, startTime=1715041914072, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1054/3947.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1054/3947, endTime=1715041931317, processId=835, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043736455)
[WI-0][TI-3947] - [INFO] 2024-05-07 09:07:17.207 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3947, processInstanceId=1054, status=6, startTime=1715041914072, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1054/3947.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1054/3947, endTime=1715041931317, processId=835, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715044037198)
[WI-0][TI-3950] - [INFO] 2024-05-07 09:07:22.211 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3950, processInstanceId=1057, status=6, startTime=1715042517875, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1057/3950.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1057/3950, endTime=1715042538297, processId=1323, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043741467)
[WI-0][TI-3950] - [INFO] 2024-05-07 09:07:22.214 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3950, processInstanceId=1057, status=6, startTime=1715042517875, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1057/3950.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1057/3950, endTime=1715042538297, processId=1323, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715044042211)
[WI-0][TI-3952] - [INFO] 2024-05-07 09:08:35.335 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3952, processInstanceId=1059, status=6, startTime=1715043192736, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1059/3952.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1059/3952, endTime=1715043213032, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043814759)
[WI-0][TI-3952] - [INFO] 2024-05-07 09:08:35.338 +0800 o.a.d.s.w.m.MessageRetryRunner:[135] - Success send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3952, processInstanceId=1059, status=6, startTime=1715043192736, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1059/3952.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1059/3952, endTime=1715043213032, processId=1711, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715044115335)
[WI-0][TI-3944] - [INFO] 2024-05-07 09:09:11.384 +0800 o.a.d.s.w.m.MessageRetryRunner:[132] - Begin retry send message to master, event: TaskInstanceExecutionFinishEvent(taskInstanceId=3944, processInstanceId=1051, status=6, startTime=1715041077174, taskInstanceHost=172.18.1.1:1234, workflowInstanceHost=172.18.0.11:5678, logPath=/opt/dolphinscheduler/logs/20240507/13505298546272/21/1051/3944.log, executePath=/tmp/dolphinscheduler/exec/process/default/13001194483488/13505298546272_21/1051/3944, endTime=1715041109126, processId=316, appIds=, varPool=[], eventCreateTime=0, eventSendTime=1715043850805)
